x,y,cluster,term,genes
9.454878,16.397717,Cluster 0,"Mouse Motor Cortex-cross-species cluster-Layer 6 glutamatergic neuron, intratelencephalon-projecting_1",Nell2 Fst Il1rapl2 Negr1 C1ql3 Brinp3 Satb2 Plcxd3 Bmpr1b Pou6f2
8.586236,18.18952,Cluster 0,Mouse Motor Cortex-cluster-Top2a+ Astrocyte,Igfbpl1 Gpc5 Mki67 Slc1a2 Myt1 Slc1a3 Apoe E2f2 E2f7 Top2a
9.632312,16.390966,Cluster 0,Mouse Motor Cortex-cluster-Aqp4+ Slc7a10+ Astrocyte,Lsamp Gpc5 Slc1a2 Luzp2 Slc1a3 Apoe Cadm2 Rora Aqp4 Slc7a10
9.637105,16.934387,Cluster 0,Mouse Motor Cortex-cluster-Aqp4+ Gfap+ Astrocyte,Gpc5 Myoc Slc1a2 Fxyd6 Slc1a3 Nrp2 Slc6a6 Apoe Aqp4 Gfap
9.515731,16.818102,Cluster 0,Mouse Motor Cortex-subclass-Sst+ Chodl+ GABAergic neuron,Nos1 Crhbp Ndst4 Tacr1 9330158H04Rik Chodl Fndc1 Stac Bace2 Gabrg1
9.274739,17.767895,Cluster 0,Lung v1-L2-Alveolar Epithelial Type 1,EMP2 AGER LMO7 GPRC5A RTKN2 ARHGEF26 LAMA3 DST SPOCK2 SCEL SFTPA2 SFTPA1 SFTPB FMO2 SLC34A2 EPAS1 SFTPC CLDN18 C1ORF116 ABCA3 ROS1 PLA2G4F SFTPD DUOX1 ADGRF5 TMEM100 SPTBN1 PPL ALS2CL DUOXA1 CLIC5 ITGB6 RBMS2 GKN2 ANXA8L1 SGMS2 LAMP3 NAPSA AQP1 PERP VIPR1 MYO1B MACF1 SERPINB5 COL17A1 ADGRF4 CAV2 PTPN21 GJB3 DOCK9 A2ML1 PTPRB SDC1 TNS1 SFTA3 ANXA8 SUSD2 TANC1 GJB5 DSP TJP1 LAMC2 AHNAK2 DSC3 SDC4 SDR16C5 AHNAK ADAMTS7P3 FCN3 ATP11A ARHGEF12 MPRIP CACNA2D2 NPNT SLK TRIM29 SECISBP2L GPR87 ATP13A4 PTPRK TACSTD2 INMT ITGA2 C8ORF4 CLIP1 MYOF PATJ RHOBTB2 KLF5 RAB11FIP1 IRF6 EVPL BMPR2 CAST CTNND1 LIMA1 KIF13A CAPN2 SASH1 NDNF CAV1 GRHL2 TMOD3 LAMB3 MPZL2 WWC2 PTPN14 CYP2B7P ARHGEF5 KIAA1671 TNXB PNLIPRP3 TNS4 VPS13D KIAA1462 SH3PXD2A DLC1 EHF TP63 MYO5B FLNB ITPR3 SH3D19 MALL UNC13B CLCA2 KLK5 DSG3 SLC26A9 ATP2B4 SCN7A TEAD1 ARHGAP29 EMP1 LIMCH1 MUC1 AMOTL1 CYBRD1 SCNN1A ITGA6 FERMT1 TMEM125 AKAP13 MSLN NEDD9 SYNE1 TNKS1BP1 ERCC6 USP53 OSMR STEAP4 CDH3 KIAA1217 RAB25 ZBTB4 THSD4 FZD6 IFFO2 PPFIBP1 SFN MET AFF4 F3 GRAMD2 CERS3 TRIO KANK2 YAP1 PKP3 KRT14 CDH1 FAM83B LPP NEK7 HEG1 ESRP2 NFAT5 SFTA2 CPA4 TANC2 DSC2 CH507.42P11.8 CDC42BPB TINAGL1 CRIM1 FAT2 TFCP2L1 PGC JUP SPTAN1 NKX2.1 MYO1C ANXA3 MAL2 C2ORF54 TOM1L2 CD9 MTUS1 TACC2 AQP3 EPPK1 SETD7 C1ORF198 KRT6B LDLR COL6A6 SNX33 AQP4 ITGA3 ANO1 GJB4 KIF1C CELSR1 CSRP1 LAD1 ESYT3 AKAP2 C15ORF52 DLG1 KRT24 CRYBG3 PLEC MBNL2 MST1R KRT7 NTN4 WWC1 FGFBP1 NCKAP1 PTPRM RNF145 SPINK5 CYP4B1 EXOC6B WDFY3 KRT75 UPK1B EPS8L2 SNX30 NDST1 CD109 SHROOM4 DAB2IP PTHLH C6ORF132 ABLIM1 PLCH2 SHROOM3 S100A14 PRX
9.59851,17.024225,Cluster 0,Lung v1-L2-Alveolar Fibroblast,A2M SCN7A GPC3 ADH1B MYH10 RARRES2 LUM AOC3 C7 CFD ECM2 TNS1 AQP7 GPD1 PLIN1 FZD4 SERPINF1 EPAS1 ADIPOQ CIDEC GPAM FMO2 SEMA3G TUSC5 CHRDL1 LIPE C3 C1S C4A TNS2 NID1 SERPING1 C2 ACACB GSN C14ORF180 ALDH2 ACSS3 F2 APOH PLIN4 BOK LPL PNPLA2 EPHX1 ITIH2 SERPIND1 LAMB2 ITIH3 C1R SERPINF2 ANGPTL2 TF ALDH4A1 PCOLCE2 C4B GYG2 AMBP TGFBR3 RETSAT SEPP1 ASGR2 AGT SORBS1 TNXB CFI DGAT2 C5 PROC LEP ABCA8 SPTBN1 FP325317.1 NPR1 DPT AHSG TMEM37 GPIHBP1 SERPINA5 FABP4 CIDEA LRP1 ALB RP11.903H12.5 APOA2 UGT2B10 SMLR1 FGG AOX1 AGPAT2 FGL1 HNMT SERPINA7 ITGA7 MLXIPL PAH FMOD RBP4 AQP1 PC APOB PLAC9 H6PD ASGR1 CEBPA KANK2 FGA PDGFRB F11 SERPINA11 SERPINA1 METTL7A FGB SOD3 IGFBP1 ACO1 HSPA12B RAMP3 SH3D19 F5 SLC12A4 CCL14 ADGRF5 MAOB MST1P2 MFAP4 CLEC3B ANG SEMA4G CYBRD1 BTNL9 ACSS2 SIK2 ACOX2 FMO5 FTCD CES1 APOM ACSM5 TGFBR2 SLC39A14 PALMD THRSP COL15A1 POR CFH ANGPTL8 PRODH2 HPN FBLN2 APOC4.APOC2 EPB41L2 MST1 ADIRF VTN BPIFB2 COL27A1 ITGA1 CFB KLB HPR APOC1 FAM198B KCNIP2 LAMA2 SCARA5 ORM2 CP ADH6 C1QTNF1 DDR2 SAA1 SLC38A3 CPB2 ARHGEF40 HLF ATRN F7 PALM2.AKAP2 PTPRM MARC2 TSPAN9 DCN ORMDL3 CD300LG LTBP4 GHR HYAL1 LYVE1 MATN3 PODN ABCC6 RRBP1 G0S2 SDC2 C4B_2 ITIH5 ALDH1L1 FGFR4 C4BPA SNTB1 SMOC2 SLC13A5 SLIT3 LAMA4 HSPB6 AGTR1 GPT2 RGN COBLL1 GJB1 FREM1 MAT1A HGD LIMS2 SNX33 F10 C1RL MYO1C FHL1 LRP5 KIAA1462 CYB5A RP5.1052I5.2 SLC7A10 ANO6 IL1R1 C10ORF10 ZCCHC24 CYB5R3 SEC16B PROS1 EGFL6 OAF BHMT2 RNASE4 GLYAT DOCK6 LAMB1 PRELP COL18A1 STBD1 ITIH1 C2ORF72 SERPINA4 ABCC2 HGFAC G6PC PGM5 PCK1
8.772639,17.539581,Cluster 0,Mouse Motor Cortex-subclass-smooth muscle cell,Acta2 Map3k7cl Gm6249 Myh11 Tagln Pdlim3 Ephx3 Olfr558 Crip1 Tbx2
8.611758,17.665773,Cluster 0,Mouse Motor Cortex-subclass-pericyte,Atp13a5 Vtn Cald1 Ebf1 Abcc9 Dlc1 Pdgfrb Tbx3os1 Pde8b Slc38a11
7.710085,16.066,Cluster 0,Mouse Motor Cortex-subclass-oligodendrocyte precursor cell,Lhfpl3 Vcan Tnr Ptprz1 Gm4876 Xylt1 Pdgfra Epn2 Cacng4 Megf11
