x,y,cluster,term,genes
4.093609,10.382889,Cluster 0,REELIN PATHWAY,RELN DAB1 CDK5 FYN VLDLR CDK5R1 LRP8 
3.9132779,11.248192,Cluster 0,NO1 PATHWAY,NOS3 SYT1 VEGF CAV1 ACTA1 PRKAR1B PRKAR1A PDE3B PDE3A CALM2 CALM3 CALM1 RYR2 CHRNA1 FLT1 CHRM1 FLT4 BDK SLC7A1 PRKACG PRKAR2B PRKAR2A AKT1 PDE2A KDR BDKRB2 PRKACB PRKG2 TNNI1 PRKG1 HSPCA 
4.5905604,11.564919,Cluster 0,BAD PATHWAY,ADCY1 BAD IGF1 CSF2RB IGF1R IL3 PRKACG KITLG KIT PIK3R1 PIK3CA PRKAR1B PRKAR1A PRKAR2B IL3RA PRKAR2A BCL2L1 AKT1 BCL2 BAX PRKACB YWHAH 
4.6943903,11.58276,Cluster 0,AT1R PATHWAY,MEF2B MAP2K4 MEF2A MEF2D MAP2K2 MAP3K1 PRKCB1 JUN MEF2C MAP2K1 SYT1 PRKCA AGT PTK2 GNAQ AGTR1 GRB2 CALM2 CALM3 RAF1 CALM1 SOS1 ATF2 SRC SHC1 ELK1 EGFR PAK1 MAPK8 MAPK3 PTK2B RAC1 MAPK1 HRAS 
4.1285877,10.417783,Cluster 0,AKAPCENTROSOME PATHWAY,PRKCE AKAP9 PRKAG1 PPP1CA PPP2CA CDC2 PRKACG PCNT1 PRKCL1 PRKAR2B MAP2 PRKAR2A ARHA PRKACB PCNT2 
3.8509324,10.995706,Cluster 0,CHREBP PATHWAY,PRKAA2 ADCY1 BUCS1 PRKAG2 BG1 PRKAG1 PRKAB1 PRKAB2 PRKAA1 PPP2CA GNGT1 PRKACG GNB1 PRKAR1B PRKAR1A PRKAR2B WBSCR14 PRKAR2A GNAS PRKACB 
3.4682775,10.528611,Cluster 0,CACAM PATHWAY,CAMK2D SYT1 CAMK2A CAMK2B CAMKK1 CAMKK2 CREB1 CAMK4 CAMK1 CAMK2G CALM2 CAMK1G CALM3 CALM1 
3.9358535,11.212158,Cluster 0,GPCR PATHWAY,PRKCB1 JUN MAP2K1 SYT1 NFATC4 FOS NFATC3 NFATC2 NFATC1 PRKCA CREB1 GNB1 PRKAR1B PRKAR1A GNAQ GNAS CALM2 CALM3 RAF1 CALM1 ADCY1 ELK1 GNAI1 PPP3CA GNGT1 PPP3CB PRKACG PPP3CC RPS6KA3 PRKAR2B PRKAR2A MAPK3 PLCG1 HRAS PRKACB 
4.7146873,11.398619,Cluster 0,P35ALZHEIMERS PATHWAY,APP GSK3B CSNK1A1 CAPNS2 MAPT CDK5 CSNK1D CAPNS1 CAPN1 CDK5R1 PPP2CA 
3.584702,10.538685,Cluster 0,FLUMAZENIL PATHWAY,GPX1 GABRA3 GABRA2 GABRA1 GABRA6 GABRA5 GABRA4 PRKCE SOD1 
