x,y,cluster,term,genes
13.570309,10.9097595,Cluster 0,PREFRONTAL CORTEX HUMAN,CDIN1 DEFA4 MAGEB2 UGT1A6 GATA5 KIR2DL5A HOXD13 S100A14 MS4A3 IL18RAP RAB44 GSTA1 VNN2 HAND1 PRG2 S100A8 PRTN3 HBD OVOL2 HCAR3 CDX2 MPO FCGR3B HAND2 PROK2 AZU1 BPI TRIM15 CXCL8 PI3 CD177 PHOX2A AHSP NXF3 GH1 FATE1 AQP9 KRT72 XAGE1B HOXA13 APOA1 CST7 CRISP3 HCAR2 RBBP8NL DEFA3 IL1RN LCN2 IGLL1 FOLR3 CAMP ADGRG3 VCY1B MCEMP1 JCHAIN ELANE PRSS57 MAGEB1 TREM1 S100A12 S100A9 HBM CLEC4D THEG UGT1A3 FOXR2 KRT19 CXCR1 MAGEA2B MMP8 G0S2 TSPY9 NR5A1 CLC CTSG GATA4 PF4 IL1R2 TRIM50 XAGE1A KCNS1 DEFA1
12.01058,9.870223,Cluster 0,TEMPORAL LOBE HUMAN,CCL22 IL2RG KRT23 OCSTAMP OR4K14 KIR2DL1 TBX21 HBB SIGLEC7 MUC3A GZMH LCP1 TAF11L7 MMP7 CD2 RNASE2 S100A8 MMP27 ITGB2 DNASE2B CXCR2 TMEM114 CD1A HBD JAML LOC124905482 OPRPN ALAS2 KCNN4 FCMR GZMA CD4 SIT1 CHIT1 KLK1 TM4SF19 LILRA3 CYP27A1 CTSK GM2A MUCL3 NFE2 METTL7B CD300C MARCO DCSTAMP FCGR3B IL24 NPS ADAMDEC1 PDZK1IP1 LSP1 GOLGA6L24P CD48 KLK4 NMRK2 TAAR1 OR2C3 RAC2 SCGB2A2 KIR3DS1 MS4A13 USP17L20 HBA2 PI3 FGF8 CSTB CCR7 FGR AHSP CDA CD79A OR8J1 HBG1 ST14 PTPRCAP LYPD4 NR1H3 FCN1 TCIRG1 KRT72 CDX1 TP53TG3E CD3E CD300LB PRSS22 CST7 SIRPG IFI30 SLAMF8 CEACAM3 RNASE3 HK3 HBA1 CAPG GRN CD1B DEFA3 SLC28A3 SMR3B DOK2 LGALS9 OR6C65 DUSP13 ACP5 KLRF1 CTSD OR5F1 TREML1 SLAMF9 MC3R SPDYE13 CD300H DEFA1 ARHGDIB OR6C68 FABP4 NKG7 IL1RN S1PR4 CD68 OR51V1 LAPTM5 LCN2 OR4L1 LGALS3 TNP2 CD1C APOBR CCRL2 OR6C2 FOLR3 CSN3 NCF1 TNFRSF10C CAMP SPATA4 KLK15 CTSS PCSK5 EPB42 SLAMF7 S100A12 S100A9 ATP6V0D2 MAGEA1 HBM GPNMB CXCL16 MMP12 LYZ ADGRE3 LTB SLN FOXR2 CXCR1 CYLC1 DPEP2 CLDN5 ICAM3 CSTA WDR74 CD79B ACY3 DCANP1 C5AR1 S100P CCN4 PLBD1 CLC FBP1 P2RY13 AKAIN1 CD52 GOLGA6L25P CSN2 PLEK FAM90A7 OR6N2 TMEM215 CLEC9A PF4 LIPA TYROBP MMP9 LILRA2 FAM90A13P CMTM2 FCER2 GZMB GAL GNLY CYP4F22
15.424016,11.389432,Cluster 0,DORSAL HORN HUMAN,POU4F3 POLR2J ZNHIT1 DYNLT2B CDC42EP5 SCYGR5 CNPY2 HOXA6 HINT1 HYPK SMIM28 HOXB9 EBF3 FAM209A FANCD2OS NDUFA12 ZPLD1 EIF1B DEFB115 UBE2U TCEAL9 AKAP14 DNLZ PDCL2 OR2A25 IL31 NPPC AARD SWI5 ELOC KLRF2 NAT2 SOST VIPR2 CLDND2 HOXC8 LGALS7 ODAM PRDM13 CA14 MSX1 MORN5 CIRBP NR2E3 TRIM60 HOXA5 SULT2B1 ETV2 GSTA3 ATP5MG IL17F EGFL8 NKAIN4 CCDC12 IGFL1 UBD RBAK-RBAKDN CAMLG HOXB8 NDUFC2-KCTD14 SMCO1 TCF15 LOC128092246 NLRP1 PTN SCGB2A1 HOXB7 LSM7 C1QTNF5 ACYP1 NMS SPINT3 SYCE1L LOC730098 ALKBH7 FXYD3 AAMDC KHDC3L RPS29 SHISAL2B RPP21 POLR2I PLA2G1B RBMS3 DEFA5 DCTN3 AK1 TMSB15B CLEC11A LOC102723532 CYB5A RPS27L LRRC26 PTRH1 GDF3 CIST1 FXYD6-FXYD2 LOC122394732 NEDD8 NDUFA11 LY6G6F-LY6G6D ITGAE TKTL1 PTF1A RABAC1 ATP5IF1 ZNHIT3 GTF2A2 LRRC52 NTMT2 SERPINA11 CRYGC PIN4 HES4 LIN7B TNNI3 NKX3-2 SPRR2F STARD6 HOXC6 WNT4 INSL5 OR2K2 CHCHD5 HES1 SERTAD1 SEMG2 PAFAH1B3 OSTCP2 HOXB6 TMSB15C OCIAD2 CCL18 FMC1 UGT2B7 EBF1 DTD1 NPPA XAGE3 TNMD MAP1LC3A CCL23 SYCE3 BCL7C MRPL52 CIAO2B ATP6V1G3 CCL27 DPRX NANOS2 DUSP15 RAC3 MIA ZNF428 ARL14EPL LOC122319696 KRTAP13-4 NPFF HOXC9 CRYGA PPY PAPPA2 TPRKB MS4A6E APOH TSHB NUDT1 GBA3 COA8 REG3G ELSPBP1 CTAG1B HSD17B1 ATOX1 SSMEM1 INSC ASGR1 KRTAP19-1 TFDP3 RBP1 PDCD5 POU4F1 ETFB HOXB5 CIB2 HMX2 NDUFAF2 KRTAP3-1 MUC7 LBX1 TRAPPC5 IMMP1L NDUFB2 MRPL43 FAM209B LOC102723655 PHPT1 MORN2 TOMM5 ATP5MC1 KRT10 YBEY A1BG CCDC167 IQCF5 HOXC5 FOXF2 PAM16 SMIM42 GRXCR1 UPK2 ADAM30 CCL25 GBX1 CCDC107 BRI3 BOLA3 PSMD9 CCDC28B SERF1B PPDPF SMIM23 SSBP1 TEX43 IFI27L1 LY6G6D CHCHD6 ARMH2 LOC100996696 RLN2 ALKAL1 ANAPC15 HRAS DKKL1 RFPL4B LOC107984365
9.684033,9.178487,Cluster 0,FRONTAL LOBE HUMAN,IL1A MCEMP1 OR4X1 LOC107986768 GPR84 IGLL5 H2AC16 H2BC3 MOS MICOS10-NBL1 SIRPG LILRB2 S100A12 S100A9 OR4F6 SLC6A3 RNASE3 HAMP RETN TAP1 KIAA0825 LOC102723407 KRTAP4-12 CD74 OR5AC2 ATXN3L LYZ CD5L IL27 LRRC69 TBC1D3G KRTAP16-1 USP17L11 TRIM6-TRIM34 SCYGR10 JSRP1 CSTA NKG7 CD79B NCR3 USP17L20 CLCA1 TEX54 OOSP4A FAM90A8 LILRA3 S100A8 TCL1A ZNF816-ZNF321P USP17L10 GOLGA6L25P TBC1D3 CCL8 CD79A LCMT2 CARD16 OR4C16 TNF LOC128092252 MS4A1 FAM90A13P OR4D11 ATOH1 KLK15 AREG CD14 FCER2 OR4C12 IL1B CXCL9 BATF
7.9953246,12.169824,Cluster 0,CEREBELLUM HUMAN,UGT2B28 POTEB2 MYL12BP2 PAGE2 IL16 REG1A CLDN9 RBMY1A1 HOXB13 MBD3L2B CDY1 TSPAN9 OR8U1 GPRC5C ANXA8L1 CNPY1 MAGEB2 SMCP CT47A6 CT47A5 KRTAP4-12 KRT2 SPRR1A CA9 FMR1NB BARHL2 KRTAP19-8 MYZAP SERPINB7 KRTAP10-6 CDH15 HNRNPCL4 MAGEA3 LCE1C NRK MMP24 MMP13 PGC KRTAP9-9 TIMP4 SPRR2D KRTAP2-2 H2BC1 KRTAP10-4 SLC22A31 MYL1 CPA1 DAZ3 PLA2G4B GAGE12C AMTN TP63 PRSS1 LCE3D HNRNPCL2 GRM4 CDY2B ESPNL S100A2 COX7B2 LOC124900574 LOC124905482 MTCL1 MAGEC1 GGTLC3 CLEC4G MAGEA9B PRAMEF8 SYTL1 LIPF CSAG3 ZNF679 LCE2C FAM90A14 NACA2 RBMY1B CT47A10 KRT6A CASP12 KRTAP9-1 CT47A9 EN2 CSH2 CGB5 DEFB105B NPS KRTAP1-5 CBLN3 PRL URAD GAGE12B KRT13 KRT31 ATP4A CA4 MAGEA2 CCNJL BSPH1 PDIA2 INPP5J GAGE12G CXCL13 FGF3 CT47A3 REG1B GAGE12E TSPY3 KRT6C NXPH3 NKX6-3 LCE3B GAGE2A SPANXA2 PRM1 ERVFC1 KRT6B PRAMEF4 SERPINB2 GH1 SPANXB1 ZNF705B LCN8 PNLIP LCE1D FAM90A22 KCTD14 CT47A2 TLE2 CGB1 CLPS MAGEA6 CT47A12 PRSS22 ATP2A3 ZIC4 MAB21L1 FDCSP CT47A1 KRTAP2-1 OR4F29 TNFRSF25 PRM2 LINGO4 SPRR2A KRT75 PRSS2 HNRNPCL1 COL27A1 MAGEC2 CELA3A CXCL6 PRR35 GAGE13 KRT34 PAGE5 TRIM64C SPANXN2 NOXO1 KRTAP5-5 DAZ1 OR2G2 ADGRF4 KRTAP4-7 MAGEA11 SYNGR4 SPRR3 FAM25A GNG13 KRT4 CLCNKA SPRR1B TSPY10 OR5H15 DEFB1 DKK4 EOMES SMIM40 SPATA31A3 GABRA6 SPANXC OR11H12 SLC26A5 CRNN GAGE12H SSX4 TMEM61 MDGA1 CT47A4 CTAG1B TSPY4 CDC42BPG VCY1B TRIM7 ABTB1 COL13A1 SAA2-SAA4 USP17L19 MAGEB1 CRTAM ZNF735 GRB7 ZG16B RBMY1F MUC7 GAGE12D SLC35G4 REG3A BARHL1 KRTAP10-5 CALML5 FOXR2 DAZ4 LMAN1L PRAMEF2 NPIPA5 MAGEA2B KRTAP21-1 LCE3A CT47A11 PCP2 CABP2 SPRR2E BPIFB4 RAB37 TGIF2LY PASD1 OPN1LW KCNJ12 H2AC1 KRTAP5-6 TMEM252 FAT2 AGTR2 OR5M8 CT47A8 ESX1 CGB8 OR4F16 LCE3C ZP2 SYCN CBLN1 S100A7 SSX4B TRIM49D2 IRF6 KRTAP13-1 PADI3
8.688691,9.754419,Cluster 0,SUBTHALAMIC NUCLEUS HUMAN,POTEB2 AGAP5 HSPA1B FAM90A18 CDY1 NPIPA2 USP17L1 ZNF816 USP17L24 OTC OR1S2 CTAGE6 KRTAP10-1 NBPF26 GOLGA8Q TBC1D3F RHOXF2B USP17L27 KRTAP5-2 CORO7-PAM16 OR51A2 OR4N4 KRT83 TXNDC2 GTF2H2C_2 USP17L11 ZNF28 SLCO1B1 NOMO3 OR4F3 NPIPA1 NOMO2 IFNA14 ZNF595 LOC124905564 NBPF11 SPDYE2B TP53TG3C RBMY1E NOMO1 ZNF700 CTAGE15 LGALS16 USP17L18 GAGE10 NPIPA9 LOC128092252 ZNF708 OR4N4C NPIPB12 LOC128092249 SNURF LOC124900573 ZNF511-PRAP1 IFNA6 FAM90A10 ZNF676 ZNF43 NBPF14 AGAP9 LGALS13 ABCB1 ZNF761 IFNA21 DEFA1B VCX3B MICOS10-NBL1 ZNF208 CDSN SPDYE6 DEFB128 USP17L30 TSPY2 TRIM39-RPP21 MT1F IFNA1 PPIAP40 GAGE12J TUBAL3 HRNR TSPY1 NBPF10 RGPD1 CLDN24 ZNF845 ZNF705G RBMY1D USP17L20 FOXD4L4 OR1E2 IFNA13 NPIPB8 ZNF816-ZNF321P USP17L21 CTAGE8 AMY2B CT45A1 PRPS1L1 SPACA5B CYP3A7-CYP3A51P OR2T4 ZNF860 MBD3L4 USP17L29 GCOM1 TAS2R43 ZNF257 GOLGA6A FAM90A19 OR2L8 GAGE2E USP17L12 SPDYE14 AHNAK2 CT45A10 DMBT1 NBPF19 IFNA8 IFNA16 BBS9 OR4F21 OSTCP2 RGPD4 BIVM-ERCC5 CCDC169-SOHLH2 HSD11B1 NPIPB3 OR1D4 ZNF443 WASHC2C ZNF680 OR2T5 PITX2 LOC112268384 UGT1A9 OR13C2 NEFM LOC112268355 ZNF729 CTAGE4 ZNF525 GAGE13 RGPD8 RFPL1 CA2 WASHC2A LOC100288966 LOC100996750 C4A DEFB4B NBPF20 ZNF808 ZNF878 CT45A8 RANBP2 USP17L10 SPATA31D3 OPN1MW3 ZNF98 IFNA7 MYOT FAM90A20P PPIAL4D TSPY10 FLG TGIF2-RAB5IF SPANXA1 SPATA31A5 IFNA10 UBC SPATA31A3 SPANXC TSPY4 CTAGE9 SULT1A4 SERINC4 TBC1D3K CCDC73 IFNA2 NEFH HADHB RGPD3 AGAP4 AMY1C USP17L28 OR4M2B FAM90A15P USP17L19 MOCS1 ZNF430 ZNF735 HPR TAS2R46 SMN1 USP17L4 LOC128966732 USP17L26 USP17L25 HSPE1-MOB4 TSSK2 NBPF12 OR1E1 OR2M7 CASQ2 NPIPA8 GSTA5 TRIM6-TRIM34 CHRNA2 NPIPA5 PRSS54 C4B PCDHB8 ZNF253 NPIPA3 GK2 NPIPB11 OR13C3 SPATA31A1 HCRTR2 ZNF254 ZNF728 OR2M5 CT45A3 PTPN20 FAM90A7 ZNF92 FAM90A3P USP17L17 HSD17B3 FAM25C CT45A9 PHKA1 CDH23 ZNF99 TAS2R45 EFNA4-EFNA3 TMEM135 FAM90A23 GET1-SH3BGR FAM90A13P IFNA4 TARP IFNA5 LOC124905359 FAM90A9 COMMD3-BMI1 SPATA31D4 RGPD6 PPIAL4C
11.351098,12.010667,Cluster 0,SUBICULUM HUMAN,H3Y2 TAF11L4 GRB14 NAP1L2 KL GJD2 CLPSL2 PPIAL4E PPM1E DIRAS2 ADGRG7 RUFY4 SERPINB13 DIO2 RFX6 CTXND1 KHDRBS2-OT1 LOC128071544 ABCA12 MAS1 LOC128092249 SPHKAP ABCD2 LOC128706665 TRPA1 FABP3 FILIP1 SPP2 GDA ADAM2 ODF1 LOC128031836 NAPB KCNN2 SLC15A5 PCDH11Y PIWIL1 B3GALT2 FBP2 PPIAP59 TMEM200A SLC24A3 RAB27B IL1RL2 TTR HCN1 EPHA5 CDRT15L2 TAF11L2 OR13C5 COL24A1 PLCXD2 BTBD3 PTGER3 PDE1A GUCA1C HNRNPCL1 DSG1 EHF RAPGEF4 OR10G6 CDK14 PGM2L1 CSN1S1 CABP7 GOLGA6L26 EFR3A ANKRD30BP3 UHMK1 LOC128092247 SEMA3D TAF11L9 DOK6 LOC127903862 CLPSL1 SEMA3E GPD2 RAB3B MORC1 VWC2L APLF GABRQ CREG2 CNTN5 NEDD8-MDP1 MLDHR FNDC1 MT1B AKAIN1 FBXW7 PAGE4 CSN2 TMA7B ZC3H11B NEUROD6 ASDURF
11.157984,10.828501,Cluster 0,HIPPOCAMPUS HUMAN,LOC128966730 CLPSL1 MFRP OR12D2 NEUROG3 GZMH CLIC6 GHSR SPANXN4 C1QTNF9B SPATA31E1 KIR2DS3 CD69 ADRA1D NKG7 KIR3DS1 LCN1 SPATA31C2 FNDC1 TEX54 FIBCD1 ZPR1 CABP7 SHISA6 CTXND1 P2RX2 SPATA31C1 GZMA TTR GZMB CDRT15L2
9.161632,12.642494,Cluster 0,CEREBELLAR CORTEX HUMAN,IL16 OR4K14 RNF148 EEF1AKMT4-ECE2 BARHL2 TMPRSS11E STATH CDH15 NRK SLC22A31 RBMY1E PSKH2 MMP27 OR5H2 GRM4 DEFB103A OR4C16 MTCL1 OR10D3 RBMY1B IZUMO3 CASP12 EN2 CLDN8 DEFB105B TMIGD1 CBLN3 OR5K3 RNF133 CCDC175 TAAR1 OR2T34 FGF5 FGF3 UGT1A8 MZB1 MGAT4D AMY1A P3R3URF OR8J1 NOX3 LCN8 CDY2A OR6C76 CST8 OR5F1 PRR35 OR51C1P MAGEB4 OR6C68 DEFB114 VCY CSN3 DKK4 GABRA6 OR11H12 TSPY4 SLC26A5 SLCO1B3-SLCO1B7 OR4N5 CDC42BPG AMY1C DEFB110 CRTAM CDY1B OR4K1 AMY1B F13B SLC35G3 OR4C11 LMAN1L IL22RA2 OR6P1 FAT2 OR5W2 PMIS2 OR5M3 ZP2 CBLN1 OR4Q2 OR4F5 OR4D10
14.482135,11.705592,Cluster 0,SPINAL CORD HUMAN,H3Y2 HOXC4 KRT23 HSPB6 IGFBP1 UTS2 NKX2-8 HAL RBMY1A1 LRRC15 PRAMEF27 CDY1 MBD3L2B HOXB4 DEFA4 MUC2 SLC51B HOXB9 LY6G6F KRT14 SPRR1A GJB2 HOXA11 OR5AK2 HOXD4 EMILIN1 HBG2 MEDAG EBF2 HOXD9 CLDN19 IL18RAP MMP14 VNN2 SLC6A5 SBSPON MYL1 DEPP1 PPBP TMEM174 CCR2 HOXC8 S100A8 STON1-GTF2A1L MNX1 CSF2RB CXCR2 CDY2B XIRP2 HOXA5 JAML SSU72P2 TAF11L12 LOC128031835 MMP1 LIPN PRAMEF8 MMP3 HOXD10 HCAR3 CDX2 MPZ GRHL3 MRGPRE PAX2 AQP1 TRIM49B PRAMEF22 RBMY1B HOXB8 PRAMEF13 COL14A1 SMIM41 DEFA1B NFE2 PPDPFL HOXA7 SFTA2 DRGX LOC128031832 RASL12 FCGR3B CPAMD8 KRT74 GYG2 URAD TSPAN8 PIRT PROK2 NCF2 SLC39A2 MMP10 BPI C1QTNF8 STON1 CSNK1A1L OR5J2 SERPINA3 NLRP7 SSU72P4 TMEM71 GDF3 DBX1 CD177 MAGEA4 PRAMEF15 KDM4E HOXD3 MBD3L2 DAO PRAMEF6 VSX2 H3Y1 PRAMEF4 CPXM2 PRAMEF25 TAF11L13 FGF4 MBD3L5 AQP9 TMEM176A CDX1 CALCA EPYC HBE1 HOXC6 CHI3L2 HOXD8 OR5M9 ADH1B SHISA3 PRG4 BMX CRISP3 CST1 HCAR2 HOXB6 ANPEP CCL18 HK3 PRPH MYLPF CNTF DEFA3 IL17B MGAM LINGO4 PRAMEF5 PHOX2B FLNC HOXD11 FMOD CD44 TRIM43 PADI4 HOXA2 CXCL6 OR6B3 CD300H FABP4 TRIM49 CR1 S1PR4 HOXA3 TLR8 LCN2 SSU72P7 CLEC12A HBZ PRX GTF2A1L HOXB1 ITGBL1 ARG1 FOLR3 SSU72P5 PRAMEF7 CAMP HOXC9 TNFRSF10C OR8H3 NKX1-1 APLN PRAMEF12 HOXA10 CASP5 SSU72P3 PRR33 IGF2 ST6GALNAC2 ADGRG3 ACTA1 TMEM132E MCEMP1 MGAM2 LTBP2 LEUTX FPR2 HOXB5 S100A12 S100A9 MAGEA1 TREM1 FOXC2 LBX1 CLEC4D HOXA9 CST2 ADGRE3 CXCR1 DPT ALPG KDM4F PRAMEF2 HOXC5 SELL MMP8 P2RX3 ICAM3 SLC18A3 HOXA4 GK2 PTH CLCA1 SFRP5 S100P HOXC10 TRIM43B CLC TAF11L11 S100B MYO1A PRAMEF14 OR11H2 IL1R2 SSU72P8 TAF11L14 HOXB3 MSMP ADH1C XAGE1A TRIM64B LOXL4 S100A3 TRIM49D2 TRIM49C RFPL4B RBM46 APLNR
