x,y,cluster,term,genes
7.095938,7.0995417,Cluster 0,BICALUTAMIDE,CYP2B6 KLK3 BAX AR CFLAR
6.1240187,6.620896,Cluster 0,METFORMIN_HYDROCHLORIDE,PRKAB1 PRKAA2 AR MTOR NDUFB3 NDUFB2 NDUFC2 NDUFB10 NDUFS3 NDUFAF1 NDUFV2 NDUFA1 MT-ND6 NDUFB5 MT-ND4 NDUFB7 NDUFS4 NDUFA9 NDUFS5 NDUFA5 NDUFB4 NDUFB9 NDUFV3 NDUFA4 NDUFC1 NDUFA7 NDUFA12 NDUFA10 MT-ND5 NDUFA2 NDUFA11 NDUFA8 NDUFB6 MT-ND4L MT-ND3 NDUFA6 NDUFAB1 GPD2 NDUFB11 NDUFS2 NDUFS8 NDUFB8 NDUFAF3 MT-ND1 NDUFA3 MT-ND2 NDUFS6 NDUFA13 NDUFV1 NDUFS1 NDUFAF4 NDUFS7 NDUFAF2 NDUFA4L2 NDUFB1
6.1000333,6.0726943,Cluster 0,DOXACURIUM_CHLORIDE,CHRNA2 CHRM2 CHRNE CHRNB1 CHRNG CHRND CHRNA1
5.629155,6.5923653,Cluster 0,CYCLOHEXIMIDE,IDH1 RORC SMAD3 HSF1 GLP1R NFE2L2 AR NR3C1 ATAD5 EEF2 PPARD NR2F2 HIF1A RPL29 RPL3 RPS11 RPL9P8 RPL27 RPS21 RPL18A RPL26 RPL8 RPL28 RPS26 RPL9P7 RPS3 RPS15A RPS8 RPS16 RPL27A RPS28 RPL34 RPL35A RPL38 RPL17 RPL39 RPL18 RPL7 RPS6 RPS5 RPS2 RPS20 RPL15 RPL21 RPL6 RPL23 RPS18 RPL13A RPS13 RPS3A RPS4Y1 RPS14 RPS4X RPS25 RPL23A RPL14 RPL24 RPL10A RPL35 RPL37 RPL9 RPS23 RPS19 RPS10 RPL31 RPL11 RPLP1 RPLP0 RPS12 RPS9 RPS7 RPL10 RPL19 RPL22 RPS29 RPL4 FAU RPS15 RPS27 RPS17 RPL41 RPL36 RPL37A RPSA RPS24 RPL13 RPL5 RPS27A RPL32 RPL30 RPL12 RPL7A RPL36A
8.677312,5.2474,Cluster 0,ORPHENADRINE,GRIN3B GRIN2D GRIN3A HRH1 GRIN1
7.1307993,6.9537163,Cluster 0,CHENODIOL,NR1I2 NR1H4 PLA2G1B AR ABCB11 GPBAR1
6.238055,6.2691283,Cluster 0,FLUTICASONE_PROPIONATE,GLCCI1 CD14 CA10 TMCO6 ORMDL3 CYP3A5 NR3C1 CSF2 PLA2G4A CCL5 IL1B IL10 CD163 HSPA4
6.8699203,6.4396634,Cluster 0,WARFARIN,VKORC1 PROS1 CYP2C9 PROC MTHFR BGLAP VWF CYP3A7 VKORC1L1 TP53 ALB PRSS53 SLCO1B3 LRP1 DNMT3A NEDD4 CYP2C18 SLC15A2 STX4 VEGFA CRP DDHD1 STX1B FMO2 MYC ASPH EPHA7 SLCO1B1 FGFBP2 CYP3A5
6.798528,5.9393783,Cluster 0,ENALAPRIL,TP53 DPP4 GSR NOS1 PDE5A ACE DSP HSPA4 MAPK8 AGT APEX1 CYP3A4 BDKRB2 PCGF3 PNPT1
6.5778356,6.583919,Cluster 0,MYCOPHENOLATE_MOFETIL,CES1 IL12A UGT1A7 CES2 HUS1 CYP2C8 EPO PRTN3 IMPDH2 IL15 IMPDH1 AR
6.217717,6.606723,Cluster 0,ISOSORBIDE_DINITRATE,NPR1 GUCY1B1 GUCY1A2 GUCY1A1 PRL
8.667125,5.1832123,Cluster 0,NICOTINE,POR EPB41 APOE DBH HTR3B MAOA CYP2D6 GRIN3A NRXN1 DRD4 DRD1 CHAT FMO1 CYP3A4 DDIT3 CHRNA2 CHRNB2 BAX CDKN1A CP CREB1 SLC6A3 TGFB1 UGT1A4 CHRNA9 CHRNA4 ABCB1 AFP CHRNA7 E2F1 NR4A1 NTF3 UGT1A7 CHRNA10 BDNF ELANE NRG1 VHL
6.6887565,6.0748625,Cluster 0,ATENOLOL,PTH ADRB1 LDLR TGFB1 GJA1 BAX PLA2G4A ABCB1 KCNH2 RRP1B CACNA1C SLC25A31 ALDH1A2 PAH GALNT2 ZMAT4 NR1H3 LRRC15 OR10P1 PPARA TBX2 ACY3 PTGS2 STN1 ADRA2A DPYS SNX9 PLEKHH2 GRK4 ARAP1 FTO SLC4A1 PROX1
6.7992024,6.274986,Cluster 0,GLIMEPIRIDE,ABCC8 KCNJ11 KCNJ1 IRS1 TNF
