x,y,cluster,term,genes
-3.8726134,1.106633,Cluster 0,Zymogen Inhibition (GO:0097341),CAST XIAP CARD18 CARD8 CST7 
-4.4387007,0.7535835,Cluster 0,Negative Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043124),STAT1 TLE1 RHOH NR1D1 NR1H4 CARD8 TNIP1 ESR1 SIRT1 LILRB4 IRGM DAB2IP PPM1A PPM1B NLRP12 TNIP3 PER1 TRIM59 CARD19 CCDC22 USP20 ZMYND11 TRIM39 CACTIN NLRX1 USP10 PPM1N MAPKBP1 GSTP1 OTUD7B TNFAIP3 ARRB2 RORA NLRC3 TREM2 TANK PYCARD CASP8 ZC3H12A RIOK3 SLC39A8 RIPK1 
-4.5025334,0.7715893,Cluster 0,Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),EOMES USP7 CTNNBIP1 FOXH1 PEX14 POU4F2 MTURN FOXP3 SFRP4 SFRP5 NUPR1 OTULIN TNFSF4 RBCK1 SIK1 ZNF675 MAD2L2 CD200 ZNF431 RNF2 RB1 KDM1A SP100 KEAP1 TBXT PYCARD NWD1 TCEAL7 E2F1 E2F2 FLNA NLRP3 ADORA3 CYP1B1 CHP1 NLRP2 HES1 BTRC HES6 MAP2K5 WFS1 FZD6 PRNP NR0B2 COMMD1 TRAF3 NR0B1 COMMD7 ESR1 SMAD7 COMMD6 TFDP1 PARP10 TFDP3 MAP3K10 PAXIP1 PHB2 SPI1 GFI1 GLIS2 PKHD1 ADGRG3 ZC3H12A PIM1 CMKLR1 TNFRSF4 MEN1 CDK5RAP3 NLRP2B ANXA4 XCL1 EIF2AK4 PTCH1 CARD8 SIRT1 BMP7 NFKBIA CYLD DAP TMIGD3 ID1 ID3 BHLHE40 ID2 BCL3 PYDC1 TLR9 TAX1BP1 PYDC2 GAS6 NFKBIE MDFI PSMD10 LRRK2 TNFAIP3 NLRC5 NLRC3 FOXS1 IRAK2 IRAK3 IRAK1 HIF1AN HAVCR2 RWDD3 EGLN1 TRIM40 PTGIS TCF7L2 CDKN2A PRMT2 CHUK NFKBIL1 PROX1 WWP2 FOXJ1 ERBIN TBX6 ITCH KLF4 HEYL DAB2IP TAF1 AIM2 BRMS1 NLRP12 HAND1 PLA2G10 TRIM37 DDIT3 CACTIN TAF3 SIGIRR TRIB1 FOXA2 SETD6 PKD1 HDAC4 LRRC14 HDAC2 CEBPG ARRB2 PKD2 PPP2CB TMSB4X UFL1 SUMO1 ARRB1 SUFU TRIM21 
-5.2750297,1.6271895,Cluster 0,Regulation Of Nuclease Activity (GO:0032069),OAS2 OAS3 PDE3A OAS1 NEIL1 OASL 
-5.7345295,1.1756947,Cluster 0,Maintenance Of Gastrointestinal Epithelium (GO:0030277),SERPINA3 STRAP IL10RA NOD2 PBLD INAVA MUC2 POLR2D VSIG1 MUC13 TLR9 TFF3 SOX9 TFF2 TFF1 MUC4 TLR4 MUC6 
-0.8759617,2.120371,Cluster 0,Regulation Of Phosphate Metabolic Process (GO:0019220),SMG5 IGBP1 IGBP1C PSEN1 SIRT2 SMG6 SMG7 IKBKB IL4 SRPX2 GNB3 RAD17 MCM7 CD24 
-4.619317,1.3565803,Cluster 0,Regulation Of Protein K63-linked Ubiquitination (GO:1900044),DDX3X PARP10 GPS2 PTPN22 UBE2V1 NOD2 CEP63 UBE2V2 SASH1 PLAA UBE2N 
-3.7627366,1.2010816,Cluster 0,Regulation Of Protein Deubiquitination (GO:0090085),ZC3H12A TNIP1 TRIM21 TANK OTUD4 
-5.2445087,1.6916759,Cluster 0,Interleukin-27-Mediated Signaling Pathway (GO:0070106),STAT1 OAS2 MX1 OAS1 OASL 
-4.9771523,1.4205862,Cluster 0,interleukin-17A-mediated Signaling Pathway (GO:0038173),IL17RA TRAF3IP2 TRAF6 MAP3K7 IL17RC 
-5.080829,1.4231424,Cluster 0,Interleukin-1-Mediated Signaling Pathway (GO:0070498),ST18 RELA IL1R1 IRAK4 IL1RAP RPS6KA5 IL1B IKBKB MYD88 RPS6KA4 TNIP2 IRAK2 TOLLIP IRAK3 TRAF6 IRAK1 MAPK3 MAP3K7 PLCB1 
-5.631883,1.1843358,Cluster 0,Innate Immune Response-Activating Signaling Pathway (GO:0002758),MEFV NOD1 NOD2 NLRC4 CGAS LILRA2 STING1 HCK INAVA PYCARD CLEC4E LACC1 NLRP3 NLRP1 CASP1 NAIP 
-3.8918684,1.0932834,Cluster 0,Inhibition Of Cysteine-Type Endopeptidase Activity (GO:0097340),CAST NOL3 XIAP CARD18 CARD8 CARD16 CST7 
-4.1846113,1.0974873,Cluster 0,Regulation Of Response To Biotic Stimulus (GO:0002831),DAPK1 ERAP1 ELMOD2 TIRAP TRAF3 FOXP1 FGR IRF1 FCGR2B XIAP BIRC2 NFE2L2 BIRC3 PTPN22 GATA6 CGAS CX3CL1 TREM2 LRP8 ZMPSTE24 SAMHD1 HERC5 RNF135 CASP8 TRIM5 TKFC DHX58 CD36 APPL1 CD55 N4BP1 
-5.417347,1.4698303,Cluster 0,Regulation Of Response To Cytokine Stimulus (GO:0060759),TLE5 MAP2K5 DHX9 WNT5A KLF4 PARP9 IFIH1 MAVS IRAK2 LRRC70 IRAK1 TAF9 MAPK7 CD24 SH2B3 RIGI 
-4.2984414,1.076348,Cluster 0,Regulation Of Response To External Stimulus (GO:0032101),PDGFRA AREL1 IL1R1 WNT5A CMA1 APLP2 SHPK CYRIB FOXP1 LACC1 TNFSF4 AGTR1 GGT3P LETMD1 RELA TNC PARK7 NOD2 LRP8 HERC5 EFNB2 NLRP9 NLRP7 ADGRA2 NLRP8 NLRP5 ALOX5 NLRP6 NLRP4 GNAT1 NLRP1 NLRP2 N4BP1 F2R TIRAP TRAF3 NR1D2 SELE CAMKMT MYD88 STK24 NMT2 FBXL2 CARD16 BIRC2 PTGES BIRC3 NMT1 AKNA SPAAR GATA6 AGER SEMA7A GGT1 CCR2 ANXA1 XCL1 CAV1 NRG1 IRF1 BST1 CYLD FCGR2B BCL6 MGLL NFE2L2 GUCY2D GUCY2F DAGLB CELF1 ALOX15 SPATA2 PTPN22 CGAS CX3CL1 ADAMTS12 TREM2 ZMPSTE24 SBNO2 GRK1 CASP8 GRK4 TRIM5 TKFC CASP4 GRK7 CASP1 CD36 BRD4 P2RY12 AHSG IL37 ERAP1 ELMOD2 F2 GP1BA HCK PSMA6 FGR NLRP14 NLRP13 P2RX4 NLRP11 XIAP F2RL1 PIK3AP1 FOXA2 USP14 SETD6 IL20 GRN LRRC19 USP18 PTGS2 SAMHD1 IL1RL2 TMSB4X RNF135 UFL1 CXCR4 DHX58 IGF2BP1 GGT2P APPL1 EPHB2 CD55 JAK2 
-0.6081497,2.2520683,Cluster 0,Hyperosmotic Response (GO:0006972),EPO NFAT5 ARHGEF2 YBX3 RCSD1 TLR3 ICOSLG 
-5.2699604,1.634857,Cluster 0,Regulation Of Ribonuclease Activity (GO:0060700),OAS2 OAS3 PDE3A OAS1 OASL 
-4.2434464,0.8445345,Cluster 0,Negative Regulation Of JNK Cascade (GO:0046329),DUSP3 SERPINB3 PRMT1 ITCH MAPK8IP1 HIPK3 DNAJA1 CYLD NCOR1 PINK1 PER1 TAOK3 F2RL1 PDCD4 ZMYND11 ZNF675 PRKN HDAC3 GPS2 GSTP1 PTPN22 DUSP19 DUSP16 KLHL31 SH3RF2 DUSP10 MARVELD3 MECOM NPPA SIRPA ANKS1B FKTN DACT1 MEN1 
-4.278347,0.9249825,Cluster 0,Negative Regulation Of JUN Kinase Activity (GO:0043508),DNAJA1 DUSP10 SERPINB3 NPPA GSTP1 PTPN22 PDCD4 DUSP19 DUSP16 MAPK8IP1 ZNF675 HIPK3 
-4.476457,0.783663,Cluster 0,Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088),IL10 USP7 NLRP2B ANXA4 CARD8 SIRT1 MTURN BMP7 FOXP3 NFKBIB NFKBIA CYLD DAP TMIGD3 OTULIN BCL3 PYDC1 TLR9 TAX1BP1 PYDC2 RBCK1 ZNF675 CD200 PSMD10 LRRK2 TNFAIP3 NLRC5 NLRC3 PYCARD NWD1 TCEAL7 IRAK2 IRAK3 IRAK1 NLRP3 ADORA3 CYP1B1 CHP1 NLRP2 HAVCR2 RWDD3 MAP2K5 TRIM40 PTGIS CDKN2A PRMT2 CHUK NFKBIL1 COMMD1 FOXJ1 TRAF3 ERBIN COMMD7 ITCH KLF4 DAB2IP COMMD6 AIM2 BRMS1 PARP10 NLRP12 TRIM37 DDIT3 CCDC22 CACTIN SETD6 SPI1 LRRC14 FAF1 GFI1 ARRB2 PPP2CB TMSB4X UFL1 PKHD1 ZC3H12A ARRB1 G3BP2 CMKLR1 TRIM21 CDK5RAP3 
-4.5752063,0.8530703,Cluster 0,Negative Regulation Of NIK/NF-kappaB Signaling (GO:1901223),TRIM40 TRIM60 BMP7 PPM1A PPM1B CYLD MYO1C NLRP12 MKRN2 TRIM15 PYDC2 RELA DDX3X SPI1 IFI35 ADIPOR1 HDAC9 NLRC3 UACA TMSB4X C1QTNF3 ZC3H12A NLRP3 CPNE1 TSPAN6 NLRP2 CCN3 
