x,y,cluster,term,genes
7.2152214,-1.1598417,Cluster 0,Bladder Female 40-49 Up,ABCC4 ACER2 ALDH1B1 BAG2 BTBD16 C16ORF74 CDC42BPA CHRM3 CLEC3A COL19A1 COL24A1 CTPS1 DEFB115 DEFB116 DHRS2 EDARADD ELF3 EVX1 GATA5 GCLC GLIS1 GLP2R GPR156 HOXA13 ID1 KRTAP22-1 LRFN5 LSM11 MRGPRD MSX2 MYH11 NADK2 NCKAP1L OR10H1 OR10H2 OR13A1 OR1L1 OR1L3 OR1M1 OR4A15 OR4A5 OR4C46 OR4K17 OR51A2 OR5M11 OR5T3 OR5W2 OR6C76 OR6Q1 OR7G1 OR8H3 OR8I2 OR8K1 OR9G1 OSBPL10 P2RX1 P2RY14 PADI3 PALLD PDCL3 PEX14 PGM5 PIR PITX2 PLA2G2F PLA2G4A POU5F1 PRDM6 PTGS1 PYGB RAB23 S100P SCUBE2 SIGLEC15 SLC2A8 SLITRK6 SNX31 SSH3 STON1-GTF2A1L SYNM TACR3 TCEAL1 TEAD1 TMEM252 TPSD1 TSHZ3 TXNRD1 UBR4 UGT1A6 UGT1A8 UPK1A UPK1B UPK2 UPK3A VGLL1 WFDC10B WFDC13 ZNF552 ZNF888 ZSCAN4
7.4039106,1.992838,Cluster 0,Whole Blood Female 40-49 Up,ADAM8 ADGRE2 ADGRE3 ADGRG3 ALPL APOBEC3A APOBR AQP9 ARHGAP25 ARL11 BIN2 BST1 C16ORF54 C19ORF38 C5AR2 CEACAM3 CFP CSF2RB CSF3R CXCR1 CXCR2 CYTH4 DOK3 EVI2B FCGR2A FCGR3B FFAR2 FGD3 FPR1 FPR2 FRAT2 GLT1D1 GMIP GRK6 HCK ICAM3 IL17RA IL18RAP ITGAM ITGAX ITGB2 JAK3 JAML LILRA2 LILRA5 LILRA6 LILRB2 LILRB3 LPAR2 LRRC25 LYN MBOAT7 MEFV MMP25 MNDA MYD88 MYO1F NCF2 NCF4 NFAM1 NFE2 NLRP12 OSCAR P2RY13 PLXNC1 PROK2 PTAFR PTPRC R3HDM4 RASGRP4 REM2 RGS18 RGS19 RNF149 RPS6KA1 S1PR4 SECTM1 SELL SELPLG SHKBP1 SIGLEC5 SIRPB1 SIRPB2 SLA SLC12A9 SLC22A4 SLC25A37 SPI1 SRGN TAS2R40 TBXAS1 TLR1 TLR2 TMEM71 TNFRSF10C TNFSF13B VSIR WAS XPO6 ZDHHC18
7.781548,1.3033168,Cluster 0,Whole Blood Male 20-29 Up,ABTB1 AGTRAP ALOX5AP ALPL AQP9 ARHGAP30 ARHGAP9 ARHGDIB ARL11 BIN2 BST1 C16ORF54 C19ORF38 C1ORF162 CD300LF CD53 CDA CEACAM3 CEACAM4 CFP CKLF CLEC12A CLEC4A CLEC4E COTL1 CPPED1 CSF3R DPEP2 EFHD2 EVI2B FCER1G FGR FPR1 FRAT1 FRAT2 GAPT GCA GLIPR2 GLT1D1 GMFG GPR141 GPSM3 HCK ICAM3 IGSF6 IL17RA IL1R2 ITGAM ITGB2 JAML LAPTM5 LILRA1 LILRA2 LILRA5 LILRA6 LRRC25 LST1 MCEMP1 MNDA MSRB1 MYD88 NCF1 NCF2 NCF4 NFAM1 NFE2 NLRC4 NLRP12 OSCAR P2RY13 PILRA PLBD1 PPM1M PRAM1 PSTPIP1 PTAFR PYGL RASGRP4 RFLNB RGS19 S100A12 S100A9 S1PR4 SELL SELPLG SIGLEC10 SIGLEC5 SIGLEC9 SIRPB2 SPI1 STXBP2 TBXAS1 TLR5 TLR8 TNFAIP8L2 TYROBP VNN1 VNN2 VSIR VSTM1
7.3365097,0.7220752,Cluster 0,Whole Blood Female 50-59 Up,ADAM8 ADGRE2 ADGRE3 ADGRG3 ADIPOR1 AOAH APBB1IP APOBR AQP9 ARHGAP25 ARHGAP45 ARHGAP9 ARRB2 BIN2 C5AR1 CD300A CEACAM3 CSF3R CST7 CXCR1 CXCR2 CYTIP DHX34 DOK3 EPB42 EVI2B FCAR FCGR2A FCGR3B FCN1 FGD3 FMNL1 FPR1 FPR2 GATA1 GMIP GPSM3 GRK6 HBA2 HBD HBQ1 HCAR2 HCAR3 IFITM2 IL18RAP IL2RG ITGAM ITGAX ITGB2 KCNJ15 KIR2DL4 KIR3DL1 LAPTM5 LCP1 LCP2 LILRB3 LITAF LRRC25 LSP1 LYN MEFV MFSD2B MPP1 MXD1 MYO1F NCF2 NCF4 PADI4 PIK3R5 PILRA PRAM1 PROK2 PSTPIP1 PTPRC R3HDM4 RAC2 RASGRP4 RHOG RNF24 SELL SELPLG SIGLEC5 SIRPB1 SLA SLC25A37 SPI1 SRGN TAGAP THEMIS2 TLR2 TMEM71 TNFRSF10C TNFRSF1B TREM1 TRIM58 VAV1 VNN2 WAS XPO6 ZDHHC18
6.105057,-1.6612762,Cluster 0,Breast - Mammary Tissue Female 30-39 Up,ADGRD2 ADIPOQ AGPAT2 AIFM2 ALX4 APOL4 AQP7 ATP13A5 BTN1A1 CAPN6 CCL28 CIDEA CIDEC CLDN8 CLPSL2 CMTM7 CRACR2B CSN1S1 CX3CL1 ECHDC3 EGFLAM ELF5 ESYT1 ETV3L FABP4 FAH GABRP GSC GYG2 HCAR1 HEBP2 IGF1 IL17RD IL22RA2 IRX1 IRX2 IRX5 KIT LAMC2 LGALS12 LIPE LMX1B LTF MAP1LC3C MYEOV NFIB NMB OBP2B ORMDL3 OXTR PDGFRL PEMT PEX11A PLEKHS1 PLIN1 PLXDC1 PLXNA4 PNPLA2 PROM1 PTH2R PTHLH RAMP2 RDH5 RPL34 RPL39 RPL9 RPLP2 SCRN2 SCUBE2 SERPINF1 SFRP1 SLC19A3 SLC28A3 SLC5A6 STAC2 STAT5A TANK TFAP2B TFAP2C TIGD2 TIMP4 TMEM132C TNN TRPS1 VGLL1 VTCN1
8.277919,-2.4768276,Cluster 0,Uterus Female 30-39 Up,ADAM33 ADAMTS19 AKAP13 ALDH1A2 ATP2B4 AXIN2 BAG2 BNC2 CDKL1 CPXM1 CUX1 DCHS1 DPP6 EMX2 ENPP1 ESR1 FBXL22 FREM1 FRMD7 GAS1 GATA2 GJC1 GLI3 GNA14 GPR161 GUCY1A2 HOXA10 HOXA11 HOXA6 HOXD10 HOXD11 HOXD3 HOXD4 HOXD9 HTR2B HUNK IL17RD ISLR ITGA11 KCNG1 KDR KLHL13 LEFTY2 LINGO2 MASP1 MEIS1 MEIS3 MFAP2 MITF MMP11 MMP26 MOXD1 MRGPRF OSR2 PAMR1 PBX1 PCDHB7 PGR PLEKHH2 PMEL PRLR PTGER3 PTK7 RAB23 RAD51B RAMP1 RAP2C RERG REV3L RPRM RSPO1 SERTM1 SFRP4 SFT2D2 SLC24A3 SLC37A3 SLC7A3 SNCAIP SSC5D STK26 STRA6 SULF2 SYTL4 TAB3 TBC1D1 TBL1X TCEAL4 TCF23 TEX15 TMEM123 TMEM158 TMEM200A TMEM200B TNFAIP8L3 TRPC4 TSHZ3 WT1 XKR5 ZDHHC14 ZNF516
7.6099234,1.8424177,Cluster 0,Whole Blood Female 30-39 Up,ABTB1 AGTRAP ALOX5AP APOBEC3A APOBR AQP10 AQP9 ARHGAP9 ARHGDIB ARL11 BIN2 BST1 C16ORF54 C19ORF38 C1ORF162 CD53 CDA CFP CSF3R CXCR1 CYBA EFHD2 EVI2B FCER1G FCGR1A FCGR2A FCGR3B FGD3 FLOT2 FPR1 FRAT1 FRAT2 FUT7 GLIPR2 GLT1D1 GMIP GP9 GPR141 GPSM3 HCK ICAM3 IGSF6 IL18RAP IMPDH1 ITGB2 JAML LILRA2 LILRA5 LILRA6 LILRB3 LPAR2 LY6G6F MEFV MMP25 MNDA MSRB1 MYD88 MYO1F NCF1 NCF2 NCF4 NFAM1 NFE2 NLRC4 NLRP12 NPL OSCAR P2RY13 PF4 PGLYRP1 PLBD1 PPBP PTAFR PYCARD PYGL R3HDM4 RASGRP4 REM2 RGL4 RGS19 RHOG S1PR4 SECTM1 SELL SELPLG SHKBP1 SIGLEC5 SIRPB2 SLC22A4 SPI1 TALDO1 TLR1 TLR5 TNFAIP8L2 TREML1 TYROBP VAV1 VNN2 VSIR ZDHHC18
7.0173063,-1.6088026,Cluster 0,Fallopian Tube Female 40-49 Up,ADAMTS1 ADAMTS3 ADGRG4 ADRB3 ALX1 ATP8B4 BOC BTG2 CCDC71L CNGB3 CRISPLD2 CSRNP1 EGR1 EGR3 EMX2 FOS FOSB GAS1 GATA2 GATA5 GMNC HOXA2 HOXA3 HOXA5 HOXA6 HOXC5 IER2 IGFBP5 IRF2BPL JUN JUNB JUND KCND1 LCN10 LONRF2 MAMDC2 MEIS3 MYC NFKBIZ NGF NR2F1 NR4A1 OR10G7 OR4C46 OR4D9 OR4X2 OR8H1 OR8H3 OSR2 OVGP1 PI15 PRAMEF26 PTGIS RAI2 RARRES1 RERG RNF122 RSPO1 SAMD11 SCGB1D4 SELE SERTM1 SLC7A8 SLITRK3 SOCS3 TCF23 TNFAIP8L3 TRANK1 TULP1 WT1 ZCCHC12 ZFP36
6.552345,-0.8169874,Cluster 0,Testis Male 60-69 Up,ADAD2 ANKRD7 ANTXRL ATP8B3 AURKC AXDND1 BRDT BTG4 C11ORF65 C12ORF42 C5ORF58 C9ORF43 CATSPERD CATSPERG CCDC150 CCDC158 CCDC168 CCDC38 CCDC70 CCHCR1 CCT8L2 CFAP53 CFAP99 CHRNB4 CNBD2 COX6B2 COX8C CYLC2 DDX4 DDX53 DEUP1 DNAJC5G DYDC1 EFCAB3 EID3 ERVW-1 EXD1 FAM209A FAM209B FAM217A FAM228A FKBP6 FOXN4 GDPD4 GOLGA6A HSF2BP INSL6 IQCA1L IQCF1 KCNV2 KCTD19 KRBOX1 KRTAP20-4 LIN28A LIN28B LRRC36 LRRIQ3 MAJIN MOV10L1 NAA11 NACA2 NOXRED1 OR1R1P OR8G3P OTOA PDCL2 PHF7 PMFBP1 POTEA POTEC PRAMEF11 RDM1 RGPD3 RGPD4 RIBC2 SHCBP1L SIGLECL1 SLC9C2 SLCO6A1 SMIM2 SPATA31A1 SPATA31C1 SPATA31C2 SPATA31D1 SPATA31D3 SPINK2 STK31 TAS1R1 TMCO5A TPTE2 TSGA10IP USP29 VRTN WDR87 YBX2 ZAR1L ZIM3 ZNF541 ZNF705A ZPBP2
6.617992,-0.31828412,Cluster 0,Testis Male 40-49 Up,ACRV1 ACTL7B BEND2 BTBD18 C12ORF40 C17ORF50 C18ORF63 C19ORF84 CABYR CCDC116 CCDC73 CCER1 CLPB CRYGC CT47B1 CTCFL DAZL DCAF12L1 DCAF4L1 DCAF4L2 DCAF8L1 DDX4 DDX53 DMRT1 DMRTB1 DNAJB8 DPPA2 ESX1 FAM47A FAM47B FAM47C FATE1 FBXO47 FNDC11 FOXR1 FOXR2 GAGE1 GAPDHS GSC2 LUZP4 LYZL4 MAGEA1 MAGEA10 MAGEA11 MAGEA12 MAGEA3 MAGEA4 MAGEA6 MAGEB1 MAGEB10 MAGEB16 MAGEB2 MAGEB3 MAGEB4 MAGEB6 MAGEC1 MAGEC2 MEX3B NAA11 NANOS2 NLRP4 OR2J3 PAGE2B PAGE5 PASD1 PRAME PRR23A PRR23B RAD51AP2 RBM46 RBMXL3 RFPL3 RHOXF2 SLC22A14 SMC1B SMIM21 SMKR1 SOX30 SPACA4 SPATA31C1 SPATA32 SPO11 SSX3 SYCP3 TAF7L TEX13D TFDP3 TGIF2LY TKTL1 TOPAZ1 TPPP2 TPTE TRIM60 TRPC5OS TSPYL6 USP26 ZFP42 ZNF280B ZNF479 ZSCAN5A
