x,y,cluster,term,genes
2.0475125,-0.1771774,Cluster 0,GID4,MKLN1 RMND5A ARMC8 MAEA YPEL5 RANBP10 
2.0432885,-0.37699166,Cluster 0,PPP6R2,PPP6C ANKRD28 PPP6R1 PPP6R3 ANKRD44 
1.743658,0.70296717,Cluster 0,RPRD1B,CTDP1 RPRD1A RPRD2 POLR2G RPAP2 
0.9474326,0.8009258,Cluster 0,TUBG1,MZT2B NEDD1 MZT2A NME7 TUBGCP2 TUBGCP3 TUBGCP6 TUBGCP4 TUBGCP5 MZT1 
2.5535421,-0.17882188,Cluster 0,MED27,MED13 CDK19 MED23 MED14 MED25 MED17 MED12L MED29 
2.0784392,-0.22715841,Cluster 0,RANBP9,MKLN1 GID4 WDR26 RMND5A GID8 ARMC8 MAEA YPEL5 RANBP10 
1.9275576,0.5918045,Cluster 0,CDK19,MED23 MED14 MED17 MED12L MED29 
2.3590133,1.1498742,Cluster 0,SGF29,TAF5L ZZZ3 TADA2A DR1 DTNB C1ORF122 KIF2C SUPT20H RAB11FIP5 SUPT7L MBIP SUPT3H 
2.281222,-0.40816647,Cluster 0,USP7,ZNF609 BCL6 TRIM27 ETV6 ACTL8 DHX40 
2.4703572,-0.6880438,Cluster 0,AFF4,AFF1 CCNT2 CCNT1 MLLT1 ELL2 ELL3 
1.2201599,0.74811304,Cluster 0,ETFA,QDPR LYRM5 MPST C8ORF82 BPNT1 LDHAL6A SOD2 
1.2508352,-0.2637743,Cluster 0,PSMB5,B4GALT4 AKIRIN2 PSMB3 PSME4 PSME2 UBFD1 FBXO7 PSMG2 PSME1 TTF2 PRSS3 PSMB9 
1.6478173,0.76315653,Cluster 0,MAGEA1,ANKRD17 MAGEB3 FBXL18 MAGEB4 HSPBAP1 ANKHD1 MAGEB6 
1.4448248,0.86747617,Cluster 0,ZKSCAN4,ZNF397 ZSCAN30 ZBED9 ZNF174 SCAND1 ZKSCAN3 ZNF24 
1.5893954,0.25969645,Cluster 0,STX5,VAMP8 GOSR1 STX8 GOSR2 STX7 STX6 VTI1A STX10 SEC22B 
1.9013519,-0.82519704,Cluster 0,TPRN,PPP1CC PPP1R18 NEXN MYO5A CALML3 PPP1CA 
0.9392436,0.80953294,Cluster 0,NEDD1,MZT2A TUBGCP2 TUBGCP3 TUBGCP6 TUBGCP4 TUBGCP5 MZT1 
2.294736,0.8704482,Cluster 0,ING1,SAP130 BRMS1 SIN3A BRMS1L SUDS3 ARID4A SAP30 
1.5786812,0.07848107,Cluster 0,PRKAR2B,AKAP13 AKAP1 AKAP14 AKAP7 PRKX AKAP2 
1.9626405,-0.4988043,Cluster 0,AP1S2,AFTPH HEATR5B AP1G2 SYNRG AP1AR AP1M2 
1.6238168,-0.5722823,Cluster 0,ARPC2,ARPC1A ACTR3 ACTR2 ARPC3 ARPC1B 
0.99224263,0.82091826,Cluster 0,MZT2B,NEDD1 MZT2A NME7 TUBGCP2 TUBGCP3 TUBGCP6 TUBGCP4 TUBGCP5 MZT1 
1.7663035,0.71997017,Cluster 0,SMC6,NSMCE4A SLF2 NSMCE3 NSMCE2 NSMCE1 SMC5 
1.5766559,0.8324182,Cluster 0,CSPP1,KIAA1328 GAN CCDC138 CCDC14 FGFR1OP 
1.2576308,-0.36875716,Cluster 0,PSMB4,CDK18 AKIRIN2 CEP120 PSMB9 PSMA8 PSMB10 PSMA7 PSMB3 PSME4 PSME2 PSMF1 FBXO7 PSMG2 PSME1 
1.2665098,0.8435941,Cluster 0,TRAPPC1,TRAPPC2L TRAPPC8 TRAPPC5 TRAPPC11 TRAPPC2B TRAPPC12 
1.2122061,0.42735928,Cluster 0,ZNF24,ZBED9 ZNF174 ZSCAN32 SCAND1 ZNF446 PGBD1 
1.5080659,0.049100578,Cluster 0,EIF4E,EIF4ENIF1 TPPP3 ARPC2 EIF4EBP1 ANGEL1 ARPC5 EIF4G3 
2.1632254,0.8087464,Cluster 0,CCNH,CDK7 ERCC5 ERCC2 MNAT1 GTF2H5 
1.1675452,-0.08926891,Cluster 0,CUL3,KBTBD6 BTBD1 KCTD20 KLHL13 RBX1 KLHL42 
1.2226251,0.7593894,Cluster 0,GTF2H1,ERCC3 GTF2H2 GTF2H3 GTF2H4 GTF2H5 
1.5957487,0.83952177,Cluster 0,USP46,RAD51AP1 PHLPP1 WDR48 PHLPP2 DMWD WDR20 
1.380725,0.018143265,Cluster 0,GDPD1,ORM2 ORM1 HBB HP APOA2 CP CFB 
1.7182884,-0.46899673,Cluster 0,GDI1,RAB12 RAB35 RAB4A RAB8B RAB6A 
1.267278,-0.2917009,Cluster 0,PSMA3,PSMB3 PSMB1 PSME4 PSME2 FBXO7 PSMG2 PSME1 PSMB9 PSMB10 
2.5675309,-0.12340967,Cluster 0,MED20,MED13 CDK19 MED23 MED14 MED25 MED17 MED27 MED12L MED29 
1.2271191,-0.31033424,Cluster 0,PSMA6,PSMB3 PSME4 PSME2 FBXO7 PSMG2 PSMB9 PSMB10 
0.8997814,0.8541028,Cluster 0,TUBGCP3,MZT2A NME7 TUBGCP2 TUBGCP6 TUBGCP4 MZT1 
1.6128393,0.16003649,Cluster 0,ICE2,BPIFA1 ICE1 MUC5AC MPO CTSG 
1.0278673,0.80219185,Cluster 0,TUBGCP6,MZT2A NME7 TUBGCP2 TUBGCP4 MZT1 
2.455602,-0.14719936,Cluster 0,WDR5,RBBP5 ASH2L BOD1 BOD1L1 ATN1 FAM199X KANSL1 KDM6A 
1.4047987,0.3375815,Cluster 0,VPS16,VPS41 TGFBRAP1 VPS33A VPS11 VPS18 
1.1624279,0.86801225,Cluster 0,JADE2,ING5 ING4 MEAF6 AARSD1 KAT7 
1.8769412,-0.5705539,Cluster 0,JUN,ATF2 FOSL2 ATF3 FOS ATF7 CREB5 
1.3515359,0.9365137,Cluster 0,TRAPPC2L,TRAPPC8 TRAPPC5 TRAPPC11 TRAPPC2B TRAPPC12 
1.5431849,-0.46566185,Cluster 0,ARPC5,ARPC1A ACTR2 TPPP3 ARPC3 ARPC2 ARPC1B ARPC5L 
0.8764168,0.7784688,Cluster 0,TUBGCP5,MZT2A NME7 TUBGCP2 TUBGCP3 TUBGCP6 TUBGCP4 MZT1 
1.7594641,0.6830074,Cluster 0,NEDD4L,WWOX HECW2 NEDD4 WWP1 WWP2 ITCH 
2.1916494,0.012758235,Cluster 0,MAGEA10,NCOA2 POU2F1 CRTC3 MAGEA9 ERI1 NRIP1 FAM216A FOXJ2 PHF8 MAGEA4 
2.0330746,-0.1966486,Cluster 0,GID8,MKLN1 GID4 RMND5A ARMC8 MAEA YPEL5 RANBP10 
1.2286472,-0.3170847,Cluster 0,PSMB2,PSMB8 PSMB3 PSME4 PSME2 FBXO7 PSMG2 PSMB9 PSMB10 
1.7064214,-0.5283976,Cluster 0,VPS35,SNX2 TBC1D5 SNX1 VPS26B VPS29 
