x,y,Name,Genes
2.2400553,4.291153,DEATH PATHWAY,DFFB DFFA APAF1 CHUK CFLAR TNFRSF10B TNFRSF10A TRAF2 NFKB1 NFKBIA BCL2 GAS2 CYCS MAP3K14 TNFRSF25 BIRC2 BIRC3 BIRC4 RELA TRADD LMNA CASP8 CASP9 CASP6 CASP7 CASP10 CASP3 TNFSF12 FADD TNFSF10 RIPK1 SPTAN1 BID
3.8236825,6.895014,TCAPOPTOSIS PATHWAY,CD4 TNFSF6 CD3Z CD28 TNFRSF6 CD3G TRA@ TRB@ CD3E CCR5 CD3D
5.083344,3.459589,CCR3 PATHWAY,PRKCB1 PPP1R12B LIMK1 CCL11 ROCK2 MAP2K1 PIK3C2G PRKCA PTK2 GNGT1 GNB1 MYL2 GNAQ ARHA MAPK3 CFL1 GNAS MAPK1 HRAS NOX1 PLCB1 RAF1 CCR3
3.9030206,5.2466145,NEUTROPHIL PATHWAY,ITGB2 SELL PECAM1 SELE ITGAM ITGAL ICAM1 CD44
9.917042,1.7322655,ALTERNATIVE PATHWAY,C5 DF C6 C7 BF C9 C8A PFC C3
6.7603965,5.492416,PGC1A PATHWAY,MEF2B HDAC5 CAMK2D MEF2A ESRRA MEF2D MEF2C PPARA SYT1 CAMK2A CAMK2B SLC2A4 PPP3CA PPP3CB PPP3CC PPARGC1 CAMK4 CAMK1 CAMK2G CALM2 CAMK1G CALM3 YWHAH CALM1
2.6655848,2.9902792,PML PATHWAY,CREBBP RB1 DAXX SP100 TNF SIRT1 TNFRSF1A PAX3 TNFRSF1B PML PRAM-1 TNFSF6 UBL1 HRAS TNFRSF6 RARA TP53
5.9082265,5.554231,CALCINEURIN PATHWAY,PRKCB1 CDKN1A SYT1 NFATC4 NFATC3 NFATC2 NFATC1 PRKCA PPP3CA PPP3CB PPP3CC SP1 MARCKS SP3 GNAQ PLCG1 CALM2 CALM3 CALM1
6.3362594,-0.66666067,RAN PATHWAY,RANBP2 RANBP1 CHC1 RAN RANGAP1
1.2041118,4.634139,RANKL PATHWAY,RELA TNFRSF11A FOS NFKB1 PRKR FOSL2 FOSL1 MAPK8 TRAF6 TNFSF11 ISGF3G IFNB1 IFNAR1 IFNAR2
3.4072092,5.7812552,D4GDI PATHWAY,JUN APAF1 GZMB PRF1 ARHGAP5 CASP8 CASP9 CASP10 ARHGDIB CASP3 CYCS ADPRT CASP1
7.9596586,2.1280038,KREB PATHWAY,FH SUCLA2 IDH2 ACO2 MDH1 CS OGDH SDHA
3.9130943,0.63234055,TERC PATHWAY,RB1 SP1 SP3 NFYB NFYC NFYA
2.3207743,3.4069386,TNFR1 PATHWAY,MAP2K4 DFFB MAP3K1 JUN DFFA CRADD TRAF2 TNFRSF1A MADD ADPRT RB1 TRADD LMNB1 PRKDC TNF LMNB2 LMNA CASP8 PAK2 PAK1 MAPK8 BAG4 ARHGDIB CASP2 CASP3 FADD RIPK1 MAP3K7 SPTAN1
9.891069,1.1902007,INTRINSIC PATHWAY,FGB KNG SERPINC1 FGG F11 F2R F10 F12 PROS1 F2 F5 PROC F8 COL4A1 F9 COL4A3 COL4A2 COL4A5 COL4A4 SERPING1 COL4A6 KLKB1 FGA
3.7692354,1.0781285,RARRXR PATHWAY,NCOA2 GTF2A1 TBP NCOA3 HDAC3 NCOA1 GTF2B GTF2F1 GTF2E1 RXRA PCAF NCOR2 POLR2A ERCC3 RARA
9.490054,1.8590347,EXTRINSIC PATHWAY,FGB SERPINC1 FGG F2R F10 PROS1 F2 F3 TFPI F5 F7 PROC FGA
6.1063952,2.2975817,ECM PATHWAY,GSN ITGA1 ITGB1 SRC ROCK1 SHC1 PXN MAP2K1 MYLK ARHGAP5 PTK2 DIAPH1 PIK3R1 PIK3CA MYL2 ARHA MAPK3 MAPK1 HRAS FYN TLN1 PFN1 RAF1
2.8084679,1.5410656,RAS PATHWAY,RHOA RALBP1 RELA MAP2K1 RALA CHUK BAD H2AFX ELK1 NFKB1 CDC42 MLLT7 CASP9 PIK3R1 PIK3CA ARHA BCL2L1 AKT1 MAPK3 RAC1 HRAS RALGDS RAF1
