x,y,Name,Genes
8.361682,9.826961,BCL6-HDAC4 complex (human),HDAC4 BCL6
8.080671,9.668704,BCL6-HDAC5 complex (human),HDAC5 BCL6
8.329462,9.685194,BCL6-HDAC7 complex (human),BCL6 HDAC7
9.92147,7.8520374,Multisubunit ACTR coactivator complex (human),CREBBP NCOA3 KAT2B EP300
8.640412,8.577125,6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex (mouse),ARNT AHR
7.0920005,5.360816,BLOC-3 (biogenesis of lysosome-related organelles complex 3) (human),HPS1 HPS4
7.598492,7.0977216,BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),HPS3 HPS5 HPS6
7.8594933,6.2173505,MUS81-CDS1 complex (human),CDS1 MUS81
10.407205,5.7453628,NCOR complex (human),TBL1XR1 NCOR1 HDAC3 CORO2A GPS2 TBL1X
13.44397,11.105906,BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),PLDN CNO SNAPIN BLOC1S1 BLOC1S2 BLOC1S3 DTNBP1 MUTED
11.195596,9.391325,9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),HSP90AB1 AIP AHR GM5511
8.8413725,10.4926405,Arp2/3 protein complex (human),ACTR3 ACTR2 LOC653888 TTLL3 LOC729494 ARPC2 ARPC5
11.933057,9.269228,PA28gamma complex (human),PSME3
9.523234,11.396793,PA28 complex (human),PSME2 PSME1
12.395983,10.72494,PA700 complex (human),PSMD11 PSMD10 PSMD13 PSMD12 PSMD14 LOC643668 PSMD9 PSMC6 PSMD7 PSMD8 PSMD5 PSMC5 PSMD6 PSMC2 PSMD3 PSMC3 PSMD4 PSMD1 PSMD2 LOC652826
8.620867,6.9863644,AP1 adaptor complex (human),AP1G1 AP1G2 AP1S1 AP1S3 LOC653653 AP1B1 AP1M1 AP1M2
7.5237412,3.125796,CDH23-harmonin transmembrane complex (mouse),CDH23 USH1C
12.661812,11.00098,immunoproteasome (mouse),PSMB9 PSMB10 PSMA6 PSMA7 PSMB8 PSMA5 PSMB3 PSMA2 GM5406 PSMB4 PSMB1 PSMB2 PSMA1 GM6542
10.144178,8.475691,Mi-2/NuRD-MTA2 complex (human),MTA2 HDAC1 BCL6 MBD3 MTA3
