x,y,Name,Genes
3.8094187,2.1997564,AATF mouse,BBC3 CDKN1A BAX TRP53 BAK1 TPT1
2.0795047,1.9393765,ABL1 human,JUN CCND2 CDKN1A CSF1 BCL6 BCL2 BAX PIM1 FOXO3 TP53
2.675224,9.269936,AHR human,PCNA UGT1A1 RFC3 IL13 ARNT FOS BRCA1 IL1B MT2A IL6 CYP2B6 CCND1 CCNG2 MYC CYP1A2 AHRR UGT1A6 CYP1A1 CYP1B1 CA9 MFSD2A ABCG2
2.0195212,6.4733086,AHR mouse,NQO1 ABCC4 SERPINB2 LHB APAF1 PLA2G4A GATA4 UGT1A6A CYP19A1 PTGS2 VAV3 IL17A IL6 SMOC2 E2F2 CYP1A2 GSTA1 SNAI2 CYP1A1 CYP1B1 NKX2-5 SIM1
4.400947,1.9965105,APC human,F8 DLG1 AMHR2 ODC1 MYC AKT1 BIRC5 NOS2 KLF4 DNMT1 PTGS2 SGK1
0.17690174,0.64418566,APEX1 human,RELA PTH CYP11B2 CD19 CCL2 NFKB1 SLC5A5
0.5106009,0.4882009,APEX1 mouse,BLK RELA CCL12 PAX5 NFKB1 APOD TLR4 PTGS2
0.36590677,7.0123186,AR human,PTPN1 MED1 USP26 JUN SRD5A3 GREB1 FN1 ETV1 TSC2 TSC1 CYP7B1 GTF2F1 MID1 CDC6 PNRC1 VEGFA CLK3 KISS1 ACTA1 PC STIM1 TH CDK6 FOLH1 PIP VIM FKBP4 UCN RELA BTG2 BTG1 KLK2 KLK1 HMMR TMPRSS2 TRPS1 PEBP1 TGFA KLK4 KLK3 EGFR NDRG1 MUC1 NRAS BSG CDH2 IFI16 CDH1 ERBB2 ERBB3 CDK20 MYC AKT1 KISS1R ATAD2 TBP SERPINB5 TCF7L2 ARG1 UGT2B15 ARG2 IGFBP3 WNT7B AKR1C3 NAT1 GNMT KLF5 NFKB1 TJP1 WEE1 REST NOV ALDH1A3 CDH11 XIAP CRH FOXA1 CRISP3 CRISP1 CDKN1A PSCA PIGR CTNNB1 PTEN IGF1R ELK4 PTGS2 SESN1 SEPT7 PMEPA1 EP300 HMOX1 NKX3-1
6.30861,3.6131065,AR mouse,CCR2 FOXA1 SCNN1A TNF NR0B1 RSL RUNX2 SOX2 PSAT1 NKX3-1 KLKB1 FKBP5 CGA
5.462382,0.80680275,ARID3A human,RBL1 CR2 E2F1 CDK1 CDC6 PML
2.2735913,4.901539,ARNT human,EGLN2 EPO JUN GAD1 FOS BRCA1 AHR ESR1 HIF1A RELB VEGFA BHLHE40 CCNE1 CDK2 UGT1A6 CYP1A1 CYP1B1 CA9 MFSD2A CTSD
6.148648,6.958533,ARNT mouse,ATXN3 TH E2F2 CYP1A2 CYP1A1 CYP1B1 SIM1
6.437323,7.85331,ARNTL human,PER3 PER2 BHLHE40 PER1 CRY2 CRY1
4.746007,4.56189,ARNTL mouse,DBP PER2 WNT10A VWF BHLHE40 CTNNB1 MAOA PER1 BHLHE41 TCF3 NFE2L2 CXCL5
6.4396167,6.570006,ASCL1 human,TPH1 CHRNA3 CHRNB4 CHRNA5 IGF2 DKK1 PCSK6
6.579119,6.026006,ASCL1 mouse,PHOX2A PDGFRA TPH2 CDKN2D RND3 BUB1 DLL3 DLL4 HES5
-0.1370854,4.444763,ATF1 human,FLT1 PCSK1 TGFB2 IL10 USP7 TOP2A MITF SLC20A1 PLAUR NTS CCNA1 MUC2 LDHA TH MAP1LC3B ERBB2 CYP11B2 CYP11B1 FTH1 BCL2 SLC22A8 CGA CFTR GABPA
0.113398515,5.224504,ATF2 human,MAP3K1 TGFB2 JUN NOS3 DUSP1 MMP2 FN1 IMPDH2 APOC3 CYP11B2 FAS IFNG CYP11B1 ATF3 RELA CDKN1A RETN PLAU TNF PLAT FASLG INS PTGS2 POLB DUSP10 CCND1 KAT5 ST3GAL5 IFNB1 ITGB8 PCK2 PCK1
4.9554157,8.538123,ATF2 mouse,CEBPA SERPINB5 GABRB3 INS2 ENTPD1 RELA FOS UCP1 TNF RHOB IL23A CCND1 PER1 FGF21 PPARG SOX9
3.040649,5.371711,ATF3 human,GDF15 CD82 MMP2 ASNS AK4 ADIPOR1 SELE ADIPOR2 ID1 PENK IFNG CCL5 DDIT3 PCLAF LDLR TP53
4.269899,6.7234087,ATF3 mouse,ATF3 IL6 SORT1 CCND1 PDX1 IL12B TNFRSF10B GCK
2.530213,5.2271914,ATF4 human,SIGMAR1 IGFBP1 HSPA5 ASNS TNFRSF10B SIRT1 SIRT2 VEGFA NDC80 F7 IL6 NUPR1 DDIT4 FGF19 DDIT3 S100P IRF7 TRIB3 DDR2 CXCL8 ATF3 CEBPB HRK PLAU PTGS2 MAP1LC3B BGLAP CHAC1 FGF21 APOE CCL2 DISC1 CA9 MCL1 ATG5
2.8262126,4.7084293,ATF4 mouse,DDR2 CDKN1B CDKN1A HSPA5 SPHK2 IHH FGF2 MIR106B IL6 FGF15 BGLAP3 MCM7 TRIB3
0.029046219,1.5162514,ATF5 human,EGR1 CREB1 CCND3 ID1 CYP2B6 SH2D1A BCL2 DISC1
3.432946,4.7596292,ATF6 human,RTN3 STARD4 WBP1 XBP1 HSPA5 SRF PDX1 NR0B2 ATP2A2 MAFA DNAJC3 BGLAP NUCB1 DDIT3
2.2202716,2.7974432,ATM human,PCNA DUSP1 CDKN1A GADD45A SLC2A1 CFLAR PVR TNFRSF10B TERF1 FOXM1 IGF1R VEGFA KLRK1 SP1 MTF1 APLF FAS BCL2 BAX PBK PMAIP1 MCL1
0.18485297,1.475244,BCL11B mouse,NOTCH1 CDKN1B IL10 GFI1 BCL2L1 AHR ZBTB7B RUNX3 FOXP3
-0.6648005,4.182321,BCL3 mouse,TRIM63 TNFRSF12A TNFAIP3 RUNX1 TNF NFKB1 NFKB2 FBXO32 CXCL10 UBC IL23A CCND1 CTSL IFNG NOS1
0.51077294,0.41939196,BCL6 human,XBP1 CDKN1A CDKN2B STAT3 CD80 LITAF NFKB1 HDAC7 CCND2 CHEK1 IRF4 SUMO1 BCL6 MYC BCL2L1 PDCD2 FCER2
0.17391478,2.5985215,BCL6 mouse,CSF1R CDKN1B MIR21A CDKN1A CDKN2B GADD45A PRDM1 RORC GATA3 HDAC7 BATF IL17A SOCS2 IL9 BCL6 IFNG TBX21 MYC
5.6663294,0.98786366,BMI1 mouse,CDKN2D CDKN2A CDKN1A HMGA2 CDK1 E4F1 PTEN IKZF1 PMAIP1 NANOG DKK1 NFKB1
0.28930995,6.2633395,BRCA1 human,KRT5 S100A2 HSPA5 HMGA2 SIRT1 VEGFA KRT18 KRT17 CYP1A1 ATM IRF9 TFF1 IRF7 MAD2L1 FOXC2 FOXC1 CXCL1 BRCA2 AREG BACH1 EGFR KHSRP CDH3 CCND1 MYC CYP1B1 E2F6 CTSD EGR1 CASR STAT1 STAT2 STAT3 GADD45A FST FOS IGF1 ESR1 ASPM DDB2 HNRNPA2B1 DDIT3 MDM2 MDC1 CDKN1B RNASEL CDKN1A IFNA1 XPC HIF1A IGF1R CYP19A1 CCNB1 EP300 JAK1 JAK2 TP63
5.598931,0.9208754,BRCA1 mouse,RAD51 CDKN1A AKT1 HMGA2 SIRT1 MAD2L1 MDM2 TPT1
4.347213,5.1732,BTF3 human,RRAS2 ABL2 ATM MADCAM1 SSPN MRVI1 HPSE2 NFKB1 EPHB2
1.1913034,7.651838,CDX1 human,PCNA TBP POSTN IRF2BP2 PPARG KRT20 DSC2 PTGS2
1.6046295,7.896614,CDX2 human,SLC15A1 VDR MUC17 UGT2B15 UGT2B17 IGFBP3 AXIN2 KLF4 SP1 APC ELMO3 TFF3 MEP1A CDH17 LCT DSC2 CFTR UGT1A10 GUCY2C GSK3B ABCB1 CDKN1A GSTP1 FUT2 SLC9A2 PTGS2 GSPT1 ACAT2 MUC2 HEPH REG4 UGT1A8
1.5547717,7.979663,CDX2 mouse,MGAM CCL25 CDX4 CDX1 POU5F1 GLB1 SHH HEPH KITL XIST NANOG CDH17 SIS
1.180748,1.8661133,CEBPA human,IL10 CD163 SLC10A1 HOMER3 SFTPD DEFA3 FN1 HSPA4 DEFA1 IL3 IL5 IL6 ID1 ALB LEP TLR9 BCL2 S100A9 CSF3R CSF1 PRL CYP3A4 VLDLR HK3 SOCS3 MYC SPP1 PCK2 PCK1 ELANE MSR1 INSR STAT3 IGF1 IGF2 F9 STAR HAMP SAA1 MAD1L1 GAPDH SPI1 SERPINC1 CRMP1 AFP CSF2RA HSD17B11 ICAM1 CXCR2 ITGAX CCL2
1.4894603,3.3811421,CEBPA mouse,ABCA3 SPI1 NR1H3 CRABP2 ZBTB16 CFLAR SLC2A4 CLU NFKB1 PTGS2 IL4 LPIN1 SCGB1A1 ALB ALDH3A1 BCL2 IL12B MSTN PRTN3 NOS2 AMELX PCK1 APOD ELANE
1.7778183,6.554089,CEBPB human,IL10 GDF15 SLC10A1 MMP1 IL13 SFTPD ASNS PTPN13 IL3 IL5 IL1B SLC5A8 IL4 IL6 IRF4 ALB TFF3 TOP1 S100A9 CXCL8 CSF3R ABCB1 HBB TNFAIP6 HP PRDM1 PRL ADM TNF BTS1 PRSS50 HSF1 CSRP1 PCK2 INSR CR2 XBP1 DAPK1 GADD45G GFER F8 STAR BCL2L1 SAA2 DDIT3 SAA1 MAD1L1 CRP OXTR CDKN1A FURIN IL24 CSH2 CSH1 FASLG CYP19A1 PTGS2 GNLY PLAC1 SLC19A1
-0.00019880068,4.1451516,CEBPB mouse,INSR SNRPN CR2 SLC10A1 FOXF1 HGF FOS TRP53 MAFB RUNX2 IL1B IL6 SCGB1A1 ALB ALDH3A1 GSTA2 ID2 BCL2 PPARG CSF1R CEBPA ATF3 BTG2 CSF3 CDKN1A SERPINE1 H2-K1 IL5RA UCP1 CLU CSN2 PTGS1 PTGS2 CYR61 SOCS3 CXCR4 BGLAP MYC ABL2 ABL1 PPARGC1A PCK1
-0.9387279,4.129526,CEBPD human,PDGFRA CCL20 TNFAIP6 PRL GADD45G TNF CXCL1 POU5F1 CYP19A1 SOD1 PTGS2 C3 CASP8 IL23A PPARG DDIT3 GAPDH
1.5170386,1.3701583,CEBPE human,SPI1 MMP2 MYC PRG2 CTSG LTF GATA1
5.9594326,5.384116,CEBPZ human,COL1A2 MLH1 APC GZMB COL11A1 SOX9
5.1302824,3.446103,CIITA human,CREBBP RAB4B HLA-DRB5 STAT1 HLA-C HLA-A HLA-B MMP9 SIRT1 HLA-G HLA-F COL1A2 IL4 IRF1 COL1A1 PSMC5 IRF2 HLA-DRA HLA-DQB1 HLA-DPB1 S100A4 HLA-DRB4 HLA-DRB3 HLA-DRB1 SLC26A3 FASLG HLA-DMB PLXNA1 HLA-DOB HLA-DMA HLA-DOA
6.138206,8.166703,CITED2 mouse,CEBPA LDHD SMAD3 NR5A1 LDHB FGF9 PPARG PDK4 MMP9 WNT4 PDK2
4.326604,4.083046,CLOCK human,NR0B2 NR3C1 PER3 PER2 DEC1 TPO NAMPT KAT5 BHLHE40 PER1 BHLHE41 STAR CRY2 CRY1
4.5417085,4.532651,CLOCK mouse,VWF SERPINE1 SERPINE2 SCNN1A NR0B2 DBP PER2 THBD TPO NAMPT BHLHE40 PER1 BHLHE41 CRY2 CRY1
6.4145,3.755076,CREB1 human,SLC39A1 IL10 JUN MMP2 BDNF MITF MUC5AC ETV3 CCK IL2 NR5A2 IL6 CD4 TH RRM2B CYP11B2 IFNG CYP11B1 HLA-DQB1 TLR9 BCL2 NF1 SLC22A8 VIP PCSK1 GSK3B GSK3A CRTC1 HPGD ODC1 TRH PRL NOLC1 NRF1 AQP3 ADRA1A ACACA UXT MC2R CASP8 BCL2L11 LAPTM4B ERBB2 BDKRB1 BDKRB2 MUC4 HLA-DOB GABPA FOS NR2F1 NR2F6 SMAD6 PPP2CA NDC80 NR4A3 AR RP1 PPM1D NMNAT2 SNAI2 SPRY2 SNAI1 PTGES FOXA1 FLT1 IL5RA SLC20A1 PSEN1 PLAU PPP2R2B XPC PLAT GRPR NTS CYP19A1 PTGS2 CYP17A1 LYL1 CXCR4 STMN1 CYP11A1 POLD2 NPY IBSP CCL5 HMOX1 SOX9 CGA SLC19A1 MSMB
-0.013421784,4.327856,CREB1 mouse,ENTPD1 IL10 HSPA5 PRKCE MIF FOS NFKBIZ MITF ETV2 ETV3 ACSL4 ESR1 CLDN11 REN1 PPM1D NMNAT2 PDE3B BCL2 NF1 CFTR NECTIN2 CRTC2 SLC2A3 SLC20A1 NRF1 TWIST1 PTGS2 LDHA PENK NOCT PPARGC1A
-1.0628695,3.595758,CREB5 human,DGKG ATP6V0E1 STAT1 RDX MX1 MAPKAPK3 LGALS3BP LY96 TNFRSF11B RASGRP3 TGFBR3 CFB
